No voie,B/T/Q,Type de voie,Voie,idVoie
7263.0,,RES,LA PETITE OURSE 2,362_V
28.0,,RUE,DE L HUBAC,363_V
,,RES,L EDELWEISS,364_V
16.0,,AV,SAINT PROMASSE,365_V
9491.0,,CHE,DU LAC,366_V
20.0,,RUE,DE LA REPUBLIQUE,367_V
7.0,,RUE,GRENETTE,368_V
12.0,,RUE,LOUIS ANDRIEUX,369_V
156.0,,RUE,PIERRE MAITRE,370_V
3.0,,RLE,DES PRISONS,371_V
16.0,,RUE,DE L ARMISTICE,372_V
7197.0,,RES,LE SCHUSS 3,373_V
10.0,,AV,MARCEL ANDRE,374_V
7089.0,,AV,REINE DES ALPES,375_V
7199.0,,,LE SEIGNUS BAS,376_V
7.0,,PL,GENERAL DE GAULLE,377_V
7464.0,,,STATION DU GRAND PUY,378_V
8.0,,CHE,DES PASQUIERS,379_V
5249.0,,PL,DU FOUR,380_V
5031.0,,,LE VILLAGE,381_V
5169.0,,,LE VILLAGE,382_V
30.0,,BD,CHARLES DE GAULLE,383_V
,,RES,LA TOVIERE,384_V
7076.0,,RES,LES MELEZES ROI SOLEIL,385_V
7112.0,,,LES AUCHES,386_V
3.0,,RUE,TRAVERSIERE,387_V
9001.0,,,LA LUQUECE,388_V
70.0,,AV,JEAN GIONO,389_V
35.0,,RUE,DU MITAN,390_V
5135.0,,RUE,DE COCODY,391_V
,,RES,LA SAPINIERE,392_V
7037.0,,,LES PLAINES,393_V
,,RES,LA ROCHAILLE,394_V
28.0,,,LE PONT,395_V
8.0,,CRS,DU TRIBUNAL,396_V
103.0,,BD,GASSENDI,397_V
53.0,,BD,ELEMIR BOURGES,398_V
7073.0,,,PONT DE LABRAU,399_V
3.0,,CHE,DE VILLEVIEILLE,400_V
6103.0,,,LES CHABRANDS,401_V
7245.0,,,LE CLOS DE L EDEN,402_V
22.0,,CHE,DU GALOUBET,403_V
7149.0,,RUE,DES EAUX CHAUDES,404_V
7321.0,,,LE SEIGNUS BAS,405_V
9005.0,,AV,DES SAVELS,406_V
5525.0,,RUE,GRANDE,407_V
13.0,,MTE,SAINT CHARLES,408_V
44.0,,,LE PONT,409_V
36.0,,RUE,DE L HUBAC,410_V
16.0,,LOT,LES LOUVES,411_V
5041.0,B,,LES PLAINES,412_V
,,RES,LE MONOIKOS,413_V
4.0,,LOT,LES BALCONS DU SOLEIL,414_V
5029.0,,RUE,DE LA GRANDE FONTAINE,415_V
9018.0,,AV,JEAN JAURES,416_V
6374.0,,,RAVEL,417_V
5403.0,,,PEYRE CHOUSSOUS,418_V
5141.0,,,BARBA,419_V
5360.0,,ESP,DESPIERRE,420_V
2.0,,PROM,DE L ARCHEVECHE,421_V
5132.0,,,PIED DE CHANCHORE,422_V
5258.0,,ALL,MARTIAL LUCIEN,423_V
9218.0,,,SERRE PAIX,424_V
5318.0,,,MERLETTE,425_V
5246.0,,ALL,AICARDI HUBERT,426_V
5498.0,,IMP,TETE D'AMONT,427_V
5721.0,,AV,CHARLES DE GAULLE,428_V
38.0,,RUE,FRANCOIS CHABAS,429_V
9.0,,AV,MAURICE PETSCHE,430_V
25.0,,RUE,PASTEUR,431_V
6.0,,RUE,DES REMPARTS,432_V
5255.0,,,LA JOUE DU LOUP,433_V
5001.0,A,,LA CHAPELLE,434_V
11.0,B,RUE,PASTEUR,435_V
5183.0,,,L ADROIT D'ABRIES,436_V
36.0,,AV,CDT DUMONT,437_V
5449.0,,RES,LES AGNEAUX,438_V
6.0,,AV,DES MARTYRS,439_V
21.0,,GR,GRANDE RUE,440_V
9000.0,,RUE,COTE GELEE,441_V
7.0,,AV,ADRIEN DAURELLE,442_V
5359.0,,,MERLETTE,443_V
5243.0,,,LE LACAS,444_V
9.0,,RUE,VARANFRAIN,445_V
5287.0,,,LES CHALPS,446_V
8.0,,AV,GEN DE GAULLE,447_V
6459.0,,,LES BERNARDS,448_V
5290.0,,,CLOT DES LEOTHAUDS,449_V
4.0,,CRS,VICTOR HUGO,450_V
17.0,,RUE,ST JULIEN,451_V
16.0,,PL,BARTHELON,452_V
2.0,,RUE,JEAN EYMAR,453_V
5316.0,,,ENTRE LA VIA,454_V
5732.0,,,LES ILES,455_V
5162.0,,RES,LES ISSARTS,456_V
2.0,,RUE,PASTEUR,457_V
44.0,,RTE,DE GRAFFINEL,458_V
5381.0,,,MERLETTE,459_V
5809.0,,,LE ROCHAS,460_V
5141.0,,,LE BOIS D AUROUZE,461_V
44.0,,RUE,DE LA TOUR,462_V
5398.0,,,SUPER DEVOLUY,463_V
5316.0,,,MERLETTE,464_V
30.0,B,RUE,DE VALSERRES,465_V
5095.0,,,LA GRANDE SAGNE,466_V
33.0,,RUE,JEAN JAURES,467_V
5216.0,,,FONTAINEBLEAU,468_V
5041.0,,PL,GEN ALBERT,469_V
5336.0,,,MERLETTE,470_V
5293.0,,,LA TARTARASSE,471_V
5830.0,,,BOIS DE LA BLACHE,472_V
5000.0,,,LA JOUE DU LOUP,473_V
5277.0,,,PRE LALLEGRE,474_V
9001.0,B,RUE,DES MARRONNIERS,475_V
9007.0,,RUE,DES EYGUIERES,476_V
9006.0,,IMP,PRE LAGRANGE,477_V
5496.0,,,LES EYSSARDS DE PELVOUX,478_V
5212.0,,,SAINT FERREOL,479_V
5100.0,A,,LE CHEF LIEU,480_V
51.0,,LOT,LES JARDINS DU MORGON,481_V
5220.0,,,LA JOUE DU LOUP,482_V
5324.0,,,LES ESCOUNDUS,483_V
5139.0,,,CANARD,484_V
9190.0,3,ALL,ALBERT BOURGES,485_V
5076.0,A,,LES UBACS,486_V
5271.0,A,,CLOT PEOUILLOUX,487_V
5162.0,G,,LE CHATEAU,488_V
5979.0,F,RUE,DE LA LIBERTE,489_V
5170.0,,,PRE LONGIS,490_V
5165.0,,,PRE DES LAGIERS,491_V
5240.0,,,LES CHALPS,492_V
5644.0,,,PELINCHE,493_V
6051.0,,,SERRE SERRET,494_V
1.0,,CRS,EMILE ZOLA,495_V
5338.0,,COR,DU CLOT CHENU,496_V
5337.0,,,LES QUEYRETS ET PEYRON,497_V
63.0,,RUE,DE LA GUISANE,498_V
5244.0,,,PRE LONGIS,499_V
5725.0,,,LES ILES,500_V
8.0,,RUE,ROSSINI,501_V
27.0,,RUE,LAMARTINE,502_V
20.0,B,RUE,MARCEAU,503_V
98.0,,BD,PAPE JEAN 23,504_V
,,RUE,LAMARTINE,505_V
31.0,,RUE,HEROLD,506_V
34.0,,RUE,DE LA BUFFA,507_V
17.0,,RUE,GOUNOD,508_V
10.0,,AV,CYRILLE BESSET,509_V
23.0,,RUE,ASSALIT,510_V
43.0,B,BD,STALINGRAD,511_V
29.0,,AV,VILLERMONT,512_V
140.0,,QUAI,DE LA BANQUIERE,513_V
52.0,,RUE,MAL VAUBAN,514_V
4.0,,AV,VALROSE,515_V
54.0,,AV,DE LA REPUBLIQUE,516_V
34.0,,BD,STALINGRAD,517_V
18.0,,RUE,FONCET,518_V
65.0,,AV,GEORGE  5,519_V
2.0,T,RUE,SPITALIERI,520_V
9.0,,RUE,DU MARECHAL JOFFRE,521_V
4.0,,RUE,MARALDI,522_V
4.0,,BD,CIMIEZ,523_V
9013.0,,,COL DE VILLEFRANCHE,524_V
5.0,,RUE,CHANOINE ALBIN,525_V
57.0,,BD,DU MONT BORON,526_V
84.0,,RUE,DU MARECHAL JOFFRE,527_V
40.0,,BD,STALINGRAD,528_V
26.0,,BD,AUGUSTE RAYNAUD,529_V
4.0,,RUE,BARLA,530_V
3.0,,MTE,DESAMBROIS,531_V
12.0,,RUE,CASSINI,532_V
25.0,,RUE,BENOIT BUNICO,533_V
3.0,,RUE,DE L OPERA,534_V
6.0,,RUE,BENOIT BUNICO,535_V
33.0,,RUE,ARSON,536_V
9.0,,RUE,VERDI,537_V
20.0,,RUE,CRONSTADT,538_V
152.0,,BD,DE CESSOLE,539_V
3.0,,RUE,MASCOINAT,540_V
